,x,y,month,id
0,0.75,0,2011-01-01,180423
0,1.0,0,2011-01-01,267696
0,1.25,0,2011-01-01,111858
0,0.75,1,2011-01-01,239010
0,1.0,1,2011-01-01,79095
0,1.25,1,2011-01-01,976
0,0.75,2,2011-01-01,241607
0,1.0,2,2011-01-01,6862
0,1.25,2,2011-01-01,12124
0,0.75,3,2011-01-01,190849
0,1.0,3,2011-01-01,165179
0,1.25,3,2011-01-01,105323
0,0.75,4,2011-01-01,29888
0,1.0,4,2011-01-01,225153
0,1.25,4,2011-01-01,211801
0,0.75,5,2011-01-01,132642
0,1.0,5,2011-01-01,195846
0,1.25,5,2011-01-01,248462
0,0.75,6,2011-01-01,218299
0,1.0,6,2011-01-01,178288
0,1.25,6,2011-01-01,61533
0,0.75,7,2011-01-01,15789
0,1.0,7,2011-01-01,113688
0,1.25,7,2011-01-01,78266
0,0.75,8,2011-01-01,206827
0,1.0,8,2011-01-01,217033
0,1.25,8,2011-01-01,138887
0,0.75,9,2011-01-01,248656
0,1.0,9,2011-01-01,158808
0,1.25,9,2011-01-01,44536
0,0.75,10,2011-01-01,228393
0,1.0,10,2011-01-01,80589
0,1.25,10,2011-01-01,44275
0,0.75,11,2011-01-01,131867
0,1.0,11,2011-01-01,174345
0,1.25,11,2011-01-01,232569
0,0.75,12,2011-01-01,171569
0,1.0,12,2011-01-01,268277
0,1.25,12,2011-01-01,144286
0,0.75,13,2011-01-01,106906
0,1.0,13,2011-01-01,258034
0,1.25,13,2011-01-01,28078
0,0.75,14,2011-01-01,17597
0,1.0,14,2011-01-01,102760
0,1.25,14,2011-01-01,236983
0,0.75,15,2011-01-01,168243
0,1.0,15,2011-01-01,33561
0,1.25,15,2011-01-01,51643
0,0.75,16,2011-01-01,280263
0,1.0,16,2011-01-01,261871
0,1.25,16,2011-01-01,170727
0,0.75,17,2011-01-01,12532
0,1.0,17,2011-01-01,117039
0,1.25,17,2011-01-01,279977
0,0.75,18,2011-01-01,65541
0,1.0,18,2011-01-01,239964
0,1.25,18,2011-01-01,3814
0,0.75,19,2011-01-01,255475
0,1.0,19,2011-01-01,177946
0,1.25,19,2011-01-01,283495
0,0.75,20,2011-01-01,145917
0,1.0,20,2011-01-01,111500
0,1.25,20,2011-01-01,182181
0,0.75,21,2011-01-01,278229
0,1.0,21,2011-01-01,143218
0,1.25,21,2011-01-01,4030
0,0.75,22,2011-01-01,136586
0,1.0,22,2011-01-01,241718
0,1.25,22,2011-01-01,68066
0,0.75,23,2011-01-01,91382
0,1.0,23,2011-01-01,115578
0,1.25,23,2011-01-01,189592
0,0.75,24,2011-01-01,278622
0,1.0,24,2011-01-01,276252
0,1.25,24,2011-01-01,1787
0,0.75,25,2011-01-01,236766
0,1.0,25,2011-01-01,267576
0,1.25,25,2011-01-01,6991
0,0.75,26,2011-01-01,65879
0,1.0,26,2011-01-01,123448
0,1.25,26,2011-01-01,281138
0,0.75,27,2011-01-02,10295
0,1.0,27,2011-01-02,80261
0,1.25,27,2011-01-03,195511
0,0.75,28,2011-01-03,49024
0,1.0,28,2011-01-03,205654
0,1.25,28,2011-01-03,132361
0,0.75,29,2011-01-03,26745
0,1.0,29,2011-01-03,276995
0,1.25,29,2011-01-03,88266
0,0.75,30,2011-01-03,5892
0,1.0,30,2011-01-03,269498
0,1.25,30,2011-01-03,176946
0,0.75,31,2011-01-03,165988
0,1.0,31,2011-01-03,92913
0,1.25,31,2011-01-03,71984
0,0.75,32,2011-01-03,190841
0,1.0,32,2011-01-03,243344
0,1.25,32,2011-01-03,64375
0,0.75,33,2011-01-03,101582
0,1.0,33,2011-01-03,157129
0,1.25,33,2011-01-03,51598
0,0.75,34,2011-01-03,195034
0,1.0,34,2011-01-03,18087
0,1.25,34,2011-01-03,132491
0,0.75,35,2011-01-03,98400
0,1.0,35,2011-01-03,168854
0,1.25,35,2011-01-03,100965
0,0.75,36,2011-01-03,118623
0,1.0,36,2011-01-03,195845
0,1.25,36,2011-01-03,253244
0,0.75,37,2011-01-03,63740
0,1.0,37,2011-01-03,223136
0,1.25,37,2011-01-03,246011
0,0.75,38,2011-01-03,141929
0,1.0,38,2011-01-03,99649
0,1.25,38,2011-01-03,73740
0,0.75,39,2011-01-03,115384
0,1.0,39,2011-01-03,98819
0,1.25,39,2011-01-03,95115
0,0.75,40,2011-01-03,70831
0,1.0,40,2011-01-03,114820
0,1.25,40,2011-01-03,85750
0,0.75,41,2011-01-03,254986
0,1.0,41,2011-01-03,189891
0,1.25,41,2011-01-03,134162
0,0.75,42,2011-01-03,243742
0,1.0,42,2011-01-03,236044
0,1.25,42,2011-01-03,184268
0,0.75,43,2011-01-03,253010
0,1.0,43,2011-01-03,179410
0,1.25,43,2011-01-04,282108
0,0.75,44,2011-01-04,234614
0,1.0,44,2011-01-05,284483
0,1.25,44,2011-01-05,44922
0,0.75,45,2011-01-05,60083
0,1.0,45,2011-01-05,50209
0,1.25,45,2011-01-05,69484
0,0.75,46,2011-01-05,15905
0,1.0,46,2011-01-05,220523
0,1.25,46,2011-01-05,37525
0,0.75,47,2011-01-05,37250
0,1.0,47,2011-01-05,243778
0,1.25,47,2011-01-05,238176
0,0.75,48,2011-01-05,74911
0,1.0,48,2011-01-05,20247
0,1.25,48,2011-01-05,85761
0,0.75,49,2011-01-05,18759
0,1.0,49,2011-01-06,264546
0,1.25,49,2011-01-07,177232
0,0.75,50,2011-01-07,62657
0,1.0,50,2011-01-07,70766
