id;kolejnosc;symbol;nazwa;opis;dataKoncaObowiazywania;dataPoczatkuObowiazywania;elementNadrzednyId;elementNadrzednyUuid;uuid;iloscKresekCn;jednostkiMiara;kluczCn;opisNieobejmuje;opisObejmuje;opisObejmujeNieobejmuje;opisObejmujeTakze;przeszleZdarzenia;uwagi;wygenerowany;zmianyOdPoprzedniejWersji;znakZmianCn;numerPoziomu
26177;1;A;ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO;;;;0;;73529589-3B43-4C24-AEEC-472EE616DE0A;; ;;;;<body><h2>SEKCJA A</h2><p>Sekcja ta obejmuje działalności związane z: </p><ul><li>eksploatacją naturalnych zasobów roślinnych i zwierzęcych, </li><li>uprawą zbóż i innych roślin uprawnych, </li><li>chowem i hodowlą zwierząt, </li><li>pozyskiwaniem drewna i surowców leśnych, </li><li>pozyskiwaniem zwierząt lub produktów zwierzęcych z gospodarstw rolnych lub ich naturalnego środowiska</li></ul></body>;;;;;;;1
26178;2;01;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;;;;0;73529589-3B43-4C24-AEEC-472EE616DE0A;EA3BA8CE-481B-4B8E-AEE0-8CBB3732F9D9;; ;;;;"<body><h2>01</h2><p>Dział ten obejmuje: </p><ul><li>uprawę i hodowlę roślin na otwartych polach lub pod osłonami, </li><li>chów i hodowlę zwierząt oraz wytwarzanie produktów zwierzęcych, </li><li>rolnictwo ekologiczne, </li><li>uprawę i hodowlę roślin genetycznie zmodyfikowanych, </li><li>chów i hodowlę zwierząt genetycznie zmodyfikowanych, </li><li>pozyskiwanie zwierząt łownych, </li><li>działalność usługową związaną z rolnictwem i łowiectwem, pozyskiwaniem zwierząt oraz działalność pokrewną. </li></ul><p>Grupa 01.5 <em>Działalność mieszana</em> uwzględnia zjawisko występowania gospodarstw rolnych prowadzących jednocześnie produkcję roślinną i zwierzęcą w zrównoważonej wielkości. Grupa ta została utworzona w celu uniknięcia zaklasyfikowania gospodarstw mieszanych w różnych grupowaniach. </p><p>Dział ten nie obejmuje:</p><ul><li>przetwórstwa produktów rolnych (odpowiednie podklasy działu 10 <em>Produkcja artykułów spożywczych</em>, działu 11 <em>Produkcja napojów</em> oraz 12.00.Z <em>Produkcja wyrobów tytoniowych</em>), z wyłączeniem przygotowywania ich na rynek pierwotny, sklasyfikowanego w niniejszym dziale, </li><li>robót ziemnych budowlanych wykonywanych na polach, np. orka warstwicowa gruntów rolnych (w celu utworzenia tarasów), drenaż, przygotowanie pól pod uprawę ryżu niełuskanego itp. sklasyfikowanych w odpowiednich podklasach Sekcji F <em>Budownictwo</em>, </li><li>sprzedaży produktów rolnych sklasyfikowanych w odpowiednich podklasach Sekcji G <em>Handel hurtowy i detaliczny</em>; <em>naprawa pojazdów samochodowych, włączając motocykle</em>,</li><li>zagospodarowania terenów zieleni, sklasyfikowanego w 81.30.Z <em>Działalność usługowa związana z zagospodarowaniem terenów zieleni</em>. </li></ul></body>";;;;;;;2
26179;3;01.1;Uprawy rolne inne niż wieloletnie ;;;;0;EA3BA8CE-481B-4B8E-AEE0-8CBB3732F9D9;5FBA5907-DB56-4FA4-B712-D14BAA176F9F;; ;;;;<body><h2>01.1</h2><p>Grupa ta obejmuje uprawy rolne inne niż wieloletnie, tj.: </p><ul><li>uprawę roślin, które rosną nie dłużej niż przez dwa sezony wzrostu, </li><li>uprawę roślin w celu produkcji nasion. </li></ul></body>;;;;;;;3
26180;4;01.11;Uprawa zbóż, roślin strączkowych i roślin oleistych na nasiona, z wyłączeniem ryżu;;;;0;5FBA5907-DB56-4FA4-B712-D14BAA176F9F;6669922A-0C8B-4985-8095-DBD6E437D3AE;; ;;;;;;;;;;;4
26181;5;01.11.Z;Uprawa zbóż, roślin strączkowych i roślin oleistych na nasiona, z wyłączeniem ryżu;;;;0;6669922A-0C8B-4985-8095-DBD6E437D3AE;2364E423-C97E-4941-8EE5-FFBE262018D8;; ;;;;<body><h2>01.11.Z</h2><p>Podklasa ta obejmuje uprawę zbóż, roślin strączkowych i roślin oleistych na otwartych polach. Gospodarstwa rolne często łączą uprawę tych zbóż. Podklasa ta obejmuje: </p><ul><li>uprawę zbóż, takich jak: <ul><li>pszenica, </li><li>kukurydza, </li><li>proso, </li><li>sorgo, </li><li>jęczmień,</li><li>żyto, </li><li>owies, </li><li>pozostałe zboża, gdzie indziej niesklasyfikowane, </li></ul></li><li>uprawę roślin strączkowych, takich jak: <ul><li>fasola, </li><li>bób, </li><li>ciecierzyca, </li><li>wspięga chińska,</li><li>soczewica, </li><li>łubin, </li><li>groch, </li><li>nikla indyjska, </li><li>pozostałe rośliny strączkowe, </li></ul></li><li>uprawę roślin oleistych na nasiona, takich jak: <ul><li>soja, </li><li>orzeszki ziemne,</li><li>bawełna, </li><li>rącznik, </li><li>siemię lniane, </li><li>gorczyca, </li><li>rzepak, </li><li>szafran, </li><li>sezam, </li><li>słonecznik, </li><li>pozostałe rośliny oleiste uprawiane na nasiona. </li></ul></li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>uprawy ryżu, sklasyfikowanej w 01.12.Z, </li><li>uprawy kukurydzy cukrowej, sklasyfikowanej w 01.13.Z, </li><li>uprawy kukurydzy pastewnej, sklasyfikowanej w 01.19.Z, </li><li>uprawy drzew oleistych na owoce, sklasyfikowanej w 01.26.Z. </li></ul></body>;;;;;;;5
26182;6;01.12;Uprawa ryżu;;;;0;5FBA5907-DB56-4FA4-B712-D14BAA176F9F;C413B820-77CD-41D8-9A05-504D09649975;; ;;;;;;;;;;;4
26183;7;01.12.Z;Uprawa ryżu;;;;0;C413B820-77CD-41D8-9A05-504D09649975;1E24E7F9-41CB-4C9B-ABE0-35FBC18521AF;; ;;;;;;;;;;;5
26184;8;01.13;Uprawa warzyw, włączając melony oraz uprawa roślin korzeniowych i roślin bulwiastych;;;;0;5FBA5907-DB56-4FA4-B712-D14BAA176F9F;2A0B2E27-815B-43AD-85A5-1CB7CE820E1D;; ;;;;;;;;;;;4
26185;9;01.13.Z;Uprawa warzyw, włączając melony oraz uprawa roślin korzeniowych i roślin bulwiastych;;;;0;2A0B2E27-815B-43AD-85A5-1CB7CE820E1D;09233B79-CDFE-44BA-BA72-3C544544B40B;; ;;;;<body><h2>01.13.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>uprawę warzyw kwiatostanowych, liściastych i łodygowych, takich jak: <ul><li>karczochy, </li><li>szparagi, </li><li>kapusta, </li><li>kalafiory i brokuły, </li><li>sałata i cykoria, </li><li>szpinak, </li><li>pozostałe warzywa kwiatostanowe, liściaste i łodygowe, </li></ul></li><li>uprawę warzyw owocowych, takich jak:<ul><li>ogórki, </li><li>bakłażany, </li><li>pomidory,</li><li>papryka, </li><li>arbuzy, </li><li>kantalupy, </li><li>melony,</li><li>pozostałe warzywa uprawiane na owoce, </li></ul></li><li>uprawę warzyw korzeniowych, bulwiastych i cebulowych, takich jak: <ul><li>marchew, </li><li>rzepa, </li><li>czosnek, </li><li>cebula, włączając szalotkę, </li><li>por i pozostałe warzywa cebulowe, </li><li>pozostałe warzywa korzeniowe i bulwiaste, </li></ul></li><li>uprawę grzybów, w tym trufli, </li><li>uprawę buraków cukrowych, </li><li>uprawę kukurydzy cukrowej, </li><li>uprawę pozostałych warzyw, </li><li>produkcję nasion warzyw, z wyłączeniem nasion buraków pastewnych, </li><li>uprawę roślin korzeniowych i bulwiastych, takich jak: <ul><li>słodkie ziemniaki (pataty, bataty),</li><li>maniok, </li><li>pozostałe rośliny korzeniowe i bulwiaste. </li></ul></li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji nasion buraków pastewnych, sklasyfikowanej w 01.19.Z </li><li>uprawy chili i papryki słodkiej (z rodzaju <em>Capsicum</em>), pieprzu (z rodziny <em>Piper</em>) oraz pozostałych roślin przyprawowych i aromatycznych, sklasyfikowanych w 01.28.Z, </li><li>uprawy grzybni, sklasyfikowanej w 01.30.Z. </li></ul></body>;;;;;;;5
26186;10;01.14;Uprawa trzciny cukrowej;;;;0;5FBA5907-DB56-4FA4-B712-D14BAA176F9F;E56E5F77-282F-4CFD-B6E6-B7540DD3B74C;; ;;;;;;;;;;;4
