voivodeship,capital,lat,lon
zachodniopomorskie,Szczecin,53.43,14.53
pomorskie,Gdańsk,54.33,18.63
warmińsko-mazurskie,Olsztyn,53.78,20.5
kujawsko-pomorskie,Bydgoszcz,53.12,18
podlaskie,Białystok,53.13,23.13
mazowieckie,Warszawa,52.22,21.0
wielkopolskie,Poznań,52.4,16.93
lubuskie,Zielona Góra,51.93,15.5
dolnośląskie,Wrocław,51.1,17.02
opolskie,Opole,50.65,17.92
łódzkie,Łódź,51.77,19.45
śląskie,Katowice,50.25,19.02
świętokrzyskie,Kielce,50.88,20.62
małopolskie,Kraków,50.05,19.93
lubelskie,Lublin,51.23,22.57
podkarpackie,Rzeszów,50.03,22.0
